data,data,data,"153,0,153"
data,data,data,x94
70,"2,8,69",x82,0.646254028
16,"9,14,74",x20,0.637258811
14,"16,21,79",x18,0.615634054
11,"23,28,84",x12,0.485490108
47,"30,35,89",x51,0.421181669
18,"37,42,94",x22,0.346425835
27,"44,49,100",x31,0.284449425
25,"51,56,105",x29,0.278679435
4,"58,62,110",x4,0.264580245
9,"65,69,115",x9,0.263132044
3,"72,76,120",x3,0.243312906
71,"79,83,125",x85,0.232353835
1,"86,90,131",x1,0.227126674
15,"93,97,136",x19,0.206457737
19,"100,104,141",x23,0.183808228
39,"107,110,146",x43,0.166595229
61,"114,117,151",x66,0.14066163
38,"121,124,156",x42,0.132304275
44,"128,131,162",x48,0.097031566
69,"135,138,167",x77,0.096880094
42,"142,145,172",x46,0.095071957
59,"149,152,177",x64,0.093564857
58,"156,158,182",x63,0.093375375
49,"163,165,187",x53,0.089943836
65,"170,172,193",x70,0.087094507
34,"177,179,198",x38,0.077644563
45,"184,186,203",x49,0.074171335
56,"191,193,208",x61,0.073460907
31,"198,200,213",x35,0.072820136
7,"205,206,218",x7,0.067894352
22,"212,213,224",x26,0.049335622
28,"219,220,229",x32,0.045713239
68,"226,227,234",x76,0.023936102
30,"233,234,239",x34,0.02358817
67,"240,241,244",x75,0.018959825
6,"247,248,249",x6,0.016059987
50,"255,255,255",x54,-0.000389136
62,"255,247,247",x67,-0.00666693
29,"255,240,240",x33,-0.022344513
33,"255,233,233",x37,-0.030796821
57,"255,226,226",x62,-0.035367486
48,"255,219,219",x52,-0.047070804
35,"255,212,212",x39,-0.054702918
32,"255,205,205",x36,-0.058999513
46,"255,198,198",x50,-0.077828736
41,"255,191,191",x45,-0.084943562
24,"255,184,184",x28,-0.093114345
64,"255,177,177",x69,-0.118538506
21,"255,170,170",x25,-0.12221788
12,"255,162,162",x15,-0.146015941
37,"255,155,155",x41,-0.146604444
5,"255,148,148",x5,-0.146855032
66,"255,141,141",x71,-0.220407588
17,"255,134,134",x21,-0.227759887
60,"255,127,127",x65,-0.247101112
53,"255,120,120",x57,-0.259151957
13,"255,113,113",x17,-0.290034368
55,"255,106,106",x60,-0.301667295
63,"255,99,99",x68,-0.308148813
8,"255,92,92",x8,-0.315007056
2,"255,85,85",x2,-0.319534666
20,"255,77,77",x24,-0.325254821
26,"255,70,70",x30,-0.341965467
43,"255,63,63",x47,-0.367207666
36,"255,56,56",x40,-0.368822482
51,"255,49,49",x55,-0.397109826
23,"255,42,42",x27,-0.419650535
54,"255,35,35",x58,-0.446855018
52,"255,28,28",x56,-0.485692563
10,"255,21,21",x10,-0.494976271
40,"255,14,14",x44,-0.6207808
